REGION,FUEL,YEAR,VALUE
RE1,DEMTAI,2038,0.0
RE1,DEMTAI,2039,0.0
RE1,DEMTAI,2040,0.0
RE1,DEMTAI,2041,0.0
RE1,DEMTAI,2042,0.0
RE1,DEMTAI,2043,0.0
RE1,DEMTAI,2044,0.0
RE1,DEMTAI,2045,0.0
RE1,DEMTAI,2046,0.0
RE1,DEMTAI,2047,0.0
RE1,DEMTAI,2048,0.0
RE1,DEMTAI,2049,0.0
RE1,DEMTAI,2050,0.0
RE1,DEMTRB,2019,0.0
RE1,DEMTRB,2020,0.0
RE1,DEMTRB,2021,0.0
RE1,DEMTRB,2022,0.0
RE1,DEMTRB,2023,0.0
RE1,DEMTRB,2024,0.0
RE1,DEMTRB,2025,0.0
RE1,DEMTRB,2026,0.0
RE1,DEMTRB,2027,0.0
RE1,DEMTRB,2028,0.0
RE1,DEMTRB,2029,0.0
RE1,DEMTRB,2030,0.0
RE1,DEMTRB,2031,0.0
RE1,DEMTRB,2032,0.0
RE1,DEMTRB,2033,0.0
RE1,DEMTRB,2034,0.0
RE1,DEMTRB,2035,0.0
RE1,DEMTRB,2036,0.0
RE1,DEMTRB,2037,0.0
RE1,DEMTRB,2038,0.0
RE1,DEMTRB,2039,0.0
RE1,DEMTRB,2040,0.0
RE1,DEMTRB,2041,0.0
RE1,DEMTRB,2042,0.0
RE1,DEMTRB,2043,0.0
RE1,DEMTRB,2044,0.0
RE1,DEMTRB,2045,0.0
RE1,DEMTRB,2046,0.0
RE1,DEMTRB,2047,0.0
RE1,DEMTRB,2048,0.0
RE1,DEMTRB,2049,0.0
RE1,DEMTRB,2050,0.0
RE1,DEMTRC,2019,0.0
RE1,DEMTRC,2020,0.0
RE1,DEMTRC,2021,0.0
RE1,DEMTRC,2022,0.0
RE1,DEMTRC,2023,0.0
RE1,DEMTRC,2024,0.0
RE1,DEMTRC,2025,0.0
RE1,DEMTRC,2026,0.0
RE1,DEMTRC,2027,0.0
RE1,DEMTRC,2028,0.0
RE1,DEMTRC,2029,0.0
RE1,DEMTRC,2030,0.0
RE1,DEMTRC,2031,0.0
RE1,DEMTRC,2032,0.0
RE1,DEMTRC,2033,0.0
RE1,DEMTRC,2034,0.0
RE1,DEMTRC,2035,0.0
RE1,DEMTRC,2036,0.0
RE1,DEMTRC,2037,0.0
RE1,DEMTRC,2038,0.0
RE1,DEMTRC,2039,0.0
RE1,DEMTRC,2040,0.0
RE1,DEMTRC,2041,0.0
RE1,DEMTRC,2042,0.0
RE1,DEMTRC,2043,0.0
RE1,DEMTRC,2044,0.0
RE1,DEMTRC,2045,0.0
RE1,DEMTRC,2046,0.0
RE1,DEMTRC,2047,0.0
RE1,DEMTRC,2048,0.0
RE1,DEMTRC,2049,0.0
RE1,DEMTRC,2050,0.0
RE1,DEMTRH,2019,0.0
RE1,DEMTRH,2020,0.0
RE1,DEMTRH,2021,0.0
RE1,DEMTRH,2022,0.0
RE1,DEMTRH,2023,0.0
RE1,DEMTRH,2024,0.0
RE1,DEMTRH,2025,0.0
RE1,DEMTRH,2026,0.0
RE1,DEMTRH,2027,0.0
RE1,DEMTRH,2028,0.0
RE1,DEMTRH,2029,0.0
RE1,DEMTRH,2030,0.0
RE1,DEMTRH,2031,0.0
RE1,DEMTRH,2032,0.0
RE1,DEMTRH,2033,0.0
RE1,DEMTRH,2034,0.0
RE1,DEMTRH,2035,0.0
RE1,DEMTRH,2036,0.0
RE1,DEMTRH,2037,0.0
RE1,DEMTRH,2038,0.0
RE1,DEMTRH,2039,0.0
RE1,DEMTRH,2040,0.0
RE1,DEMTRH,2041,0.0
RE1,DEMTRH,2042,0.0
RE1,DEMTRH,2043,0.0
RE1,DEMTRH,2044,0.0
RE1,DEMTRH,2045,0.0
RE1,DEMTRH,2046,0.0
RE1,DEMTRH,2047,0.0
RE1,DEMTRH,2048,0.0
RE1,DEMTRH,2049,0.0
RE1,DEMTRH,2050,0.0
RE1,DEMTRL,2019,0.0
RE1,DEMTRL,2020,0.0
RE1,DEMTRL,2021,0.0
RE1,DEMTRL,2022,0.0
RE1,DEMTRL,2023,0.0
RE1,DEMTRL,2024,0.0
RE1,DEMTRL,2025,0.0
RE1,DEMTRL,2026,0.0
RE1,DEMTRL,2027,0.0
RE1,DEMTRL,2028,0.0
RE1,DEMTRL,2029,0.0
RE1,DEMTRL,2030,0.0
RE1,DEMTRL,2031,0.0
RE1,DEMTRL,2032,0.0
RE1,DEMTRL,2033,0.0
RE1,DEMTRL,2034,0.0
RE1,DEMTRL,2035,0.0
RE1,DEMTRL,2036,0.0
RE1,DEMTRL,2037,0.0
RE1,DEMTRL,2038,0.0
RE1,DEMTRL,2039,0.0
RE1,DEMTRL,2040,0.0
RE1,DEMTRL,2041,0.0
RE1,DEMTRL,2042,0.0
RE1,DEMTRL,2043,0.0
RE1,DEMTRL,2044,0.0
RE1,DEMTRL,2045,0.0
RE1,DEMTRL,2046,0.0
RE1,DEMTRL,2047,0.0
RE1,DEMTRL,2048,0.0
RE1,DEMTRL,2049,0.0
RE1,DEMTRL,2050,0.0
RE1,DEMTRM,2019,0.0
RE1,DEMTRM,2020,0.0
RE1,DEMTRM,2021,0.0
RE1,DEMTRM,2022,0.0
RE1,DEMTRM,2023,0.0
RE1,DEMTRM,2024,0.0
RE1,DEMTRM,2025,0.0
RE1,DEMTRM,2026,0.0
RE1,DEMTRM,2027,0.0
RE1,DEMTRM,2028,0.0
RE1,DEMTRM,2029,0.0
RE1,DEMTRM,2030,0.0
RE1,DEMTRM,2031,0.0
RE1,DEMTRM,2032,0.0
RE1,DEMTRM,2033,0.0
RE1,DEMTRM,2034,0.0
RE1,DEMTRM,2035,0.0
RE1,DEMTRM,2036,0.0
RE1,DEMTRM,2037,0.0
RE1,DEMTRM,2038,0.0
RE1,DEMTRM,2039,0.0
RE1,DEMTRM,2040,0.0
RE1,DEMTRM,2041,0.0
RE1,DEMTRM,2042,0.0
RE1,DEMTRM,2043,0.0
RE1,DEMTRM,2044,0.0
RE1,DEMTRM,2045,0.0
RE1,DEMTRM,2046,0.0
RE1,DEMTRM,2047,0.0
RE1,DEMTRM,2048,0.0
RE1,DEMTRM,2049,0.0
RE1,DEMTRM,2050,0.0
RE1,DEMTWD,2019,0.0
RE1,DEMTWD,2020,0.0
RE1,DEMTWD,2021,0.0
RE1,DEMTWD,2022,0.0
RE1,DEMTWD,2023,0.0
RE1,DEMTWD,2024,0.0
RE1,DEMTWD,2025,0.0
RE1,DEMTWD,2026,0.0
RE1,DEMTWD,2027,0.0
RE1,DEMTWD,2028,0.0
RE1,DEMTWD,2029,0.0
RE1,DEMTWD,2030,0.0
RE1,DEMTWD,2031,0.0
RE1,DEMTWD,2032,0.0
RE1,DEMTWD,2033,0.0
RE1,DEMTWD,2034,0.0
RE1,DEMTWD,2035,0.0
RE1,DEMTWD,2036,0.0
RE1,DEMTWD,2037,0.0
RE1,DEMTWD,2038,0.0
RE1,DEMTWD,2039,0.0
RE1,DEMTWD,2040,0.0
RE1,DEMTWD,2041,0.0
RE1,DEMTWD,2042,0.0
RE1,DEMTWD,2043,0.0
RE1,DEMTWD,2044,0.0
RE1,DEMTWD,2045,0.0
RE1,DEMTWD,2046,0.0
RE1,DEMTWD,2047,0.0
RE1,DEMTWD,2048,0.0
RE1,DEMTWD,2049,0.0
RE1,DEMTWD,2050,0.0
RE1,DSL,2019,0.0
RE1,DSL,2020,0.0
RE1,DSL,2021,0.0
RE1,DSL,2022,0.0
RE1,DSL,2023,0.0
RE1,DSL,2024,0.0
RE1,DSL,2025,0.0
RE1,DSL,2026,0.0
RE1,DSL,2027,0.0
RE1,DSL,2028,0.0
RE1,DSL,2029,0.0
RE1,DSL,2030,0.0
RE1,DSL,2031,0.0
RE1,DSL,2032,0.0
RE1,DSL,2033,0.0
RE1,DSL,2034,0.0
RE1,DSL,2035,0.0
RE1,DSL,2036,0.0
RE1,DSL,2037,0.0
RE1,DSL,2038,0.0
RE1,DSL,2039,0.0
